deputado;partido;uf;impeachment_dilma;emendas_prometidas;emendas_pagas;voto_temer
Mendonça Filho;DEM;PE;SIM;0.00;318530.29;NÃO
Miguel Haddad;PSDB;SP;SIM;7581700.00;1724972.13;SIM
Miguel Lombardi;PR;SP;SIM;3432953.00;1017928.38;NÃO
Milton Monti;PR;SP;SIM;8649729.55;2301024.77;NÃO
Miro Teixeira;Rede;RJ;SIM;2426260.00;1496348.23;SIM
Misael Varella;DEM;MG;SIM;4565995.00;410224.12;NÃO
Missionário José Olímpio;DEM;SP;SIM;5595561.54;1565648.94;NÃO
Moisés Diniz;PCdoB;AC;Não estava no cargo;4184297.00;0.00;SIM
Moses Rodrigues;PMDB;CE;SIM;7780503.00;359284.92;NÃO
Nelson Marquezelli;PTB;SP;SIM;8833810.00;3134953.91;NÃO
Nelson Meurer;PP;PR;SIM;9489086.00;1602027.19;NÃO
Nelson Padovani;PSDB;PR;SIM;1875477.44;492433.45;NÃO
Nelson Pellegrino;PT;BA;Não estava no cargo;9361183.00;0.00;SIM
Newton Cardoso Jr;PMDB;MG;SIM;0.00;320629.51;NÃO
Nilson Leitão;PSDB;MT;SIM;7466645.00;1166780.22;NÃO
Nilson Pinto;PSDB;PA;SIM;4324045.00;2300993.14;NÃO
Nilto Tato;PT;SP;NÃO;9316648.00;237393.58;SIM
Nilton Capixaba;PTB;RO;SIM;3079884.00;4193877.15;NÃO
Norma Ayub;DEM;ES;Não estava no cargo;NaN;NaN;SIM
Odorico Monteiro;PSB;CE;NÃO;6826536.00;0.00;SIM
Onyx Lorenzoni;DEM;RS;SIM;5539695.00;3379960.96;SIM
Orlando Silva;PCdoB;SP;NÃO;5820318.78;912189.50;SIM
Osmar Bertoldi;DEM;PR;Não estava no cargo;NaN;NaN;NÃO
Osmar Serraglio;PMDB;PR;SIM;8888903.00;773842.78;Abstenção
Osmar Terra;PMDB;RS;SIM;0.00;2547891.06;NÃO
Otavio Leite;PSDB;RJ;SIM;5153102.76;909951.82;SIM
Padre João;PT;MG;NÃO;5697873.00;3881756.46;SIM
Paes Landim;PTB;PI;NÃO;9002513.75;1249688.44;NÃO
